view_type,product,ab_group,user_type,ad_kill_scene,level5_dau,pv,uv,uv_ratio
by_user_type,ball_sort,A,new,long_watch_kill,834398,90109,69532,0.0833
by_user_type,ball_sort,A,old,long_watch_kill,73817,8459,6703,0.0908
by_user_type,ball_sort,B,new,long_watch_kill,834962,72816,72745,0.0871
by_user_type,ball_sort,B,old,long_watch_kill,76218,7857,7848,0.103
overall,ball_sort,A,,long_watch_kill,908215,98568,76235,0.0839
overall,ball_sort,B,,long_watch_kill,911180,80673,80593,0.0884
by_user_type,ball_sort,A,new,none,834398,1151445,832859,0.9982
by_user_type,ball_sort,A,old,none,73817,91130,70281,0.9521
by_user_type,ball_sort,B,new,none,834962,1133583,832966,0.9976
by_user_type,ball_sort,B,old,none,76218,91015,71337,0.936
overall,ball_sort,A,,none,908215,1242575,903140,0.9944
overall,ball_sort,B,,none,911180,1224598,904303,0.9925
by_user_type,ball_sort,A,new,short_watch_repeat_kill,834398,11756,5389,0.0065
by_user_type,ball_sort,A,old,short_watch_repeat_kill,73817,919,407,0.0055
by_user_type,ball_sort,B,new,short_watch_repeat_kill,834962,3417,3413,0.0041
by_user_type,ball_sort,B,old,short_watch_repeat_kill,76218,213,212,0.0028
overall,ball_sort,A,,short_watch_repeat_kill,908215,12675,5796,0.0064
overall,ball_sort,B,,short_watch_repeat_kill,911180,3630,3625,0.004
by_user_type,ios_nuts_sort,A,new,long_watch_kill,54680,17262,9617,0.1759
by_user_type,ios_nuts_sort,A,old,long_watch_kill,4641,1863,1223,0.2635
by_user_type,ios_nuts_sort,B,new,long_watch_kill,53948,9703,9666,0.1792
by_user_type,ios_nuts_sort,B,old,long_watch_kill,4988,1341,1337,0.268
overall,ios_nuts_sort,A,,long_watch_kill,59321,19125,10840,0.1827
overall,ios_nuts_sort,B,,long_watch_kill,58936,11044,11003,0.1867
by_user_type,ios_nuts_sort,A,new,none,54680,72092,54441,0.9956
by_user_type,ios_nuts_sort,A,old,none,4641,5126,3945,0.85
by_user_type,ios_nuts_sort,B,new,none,53948,67335,53607,0.9937
by_user_type,ios_nuts_sort,B,old,none,4988,4835,4039,0.8097
overall,ios_nuts_sort,A,,none,59321,77218,58386,0.9842
overall,ios_nuts_sort,B,,none,58936,72170,57646,0.9781
by_user_type,ios_nuts_sort,A,new,short_watch_repeat_kill,54680,6562,2242,0.041
by_user_type,ios_nuts_sort,A,old,short_watch_repeat_kill,4641,512,188,0.0405
by_user_type,ios_nuts_sort,B,new,short_watch_repeat_kill,53948,1286,1278,0.0237
by_user_type,ios_nuts_sort,B,old,short_watch_repeat_kill,4988,81,81,0.0162
overall,ios_nuts_sort,A,,short_watch_repeat_kill,59321,7074,2430,0.041
overall,ios_nuts_sort,B,,short_watch_repeat_kill,58936,1367,1359,0.0231
