product,event_date,ab_group,dau_all,dau_eng
ball_sort,2026-01-30,A,3311,3221
ball_sort,2026-01-30,B,3299,3200
ball_sort,2026-01-31,A,12023,11400
ball_sort,2026-01-31,B,12036,11415
ball_sort,2026-02-01,A,17942,16143
ball_sort,2026-02-01,B,17852,16015
ball_sort,2026-02-02,A,38259,35044
ball_sort,2026-02-02,B,38276,34939
ball_sort,2026-02-03,A,98150,90913
ball_sort,2026-02-03,B,98924,91818
ball_sort,2026-02-04,A,174312,158532
ball_sort,2026-02-04,B,175007,159177
ball_sort,2026-02-05,A,222089,194240
ball_sort,2026-02-05,B,223374,195253
ball_sort,2026-02-06,A,261140,222630
ball_sort,2026-02-06,B,262467,223848
ball_sort,2026-02-07,A,292166,245697
ball_sort,2026-02-07,B,293860,246926
ball_sort,2026-02-08,A,318088,264045
ball_sort,2026-02-08,B,320856,266800
ball_sort,2026-02-09,A,333822,271232
ball_sort,2026-02-09,B,335702,272973
ball_sort,2026-02-10,A,351186,283516
ball_sort,2026-02-10,B,353310,284967
ball_sort,2026-02-11,A,360775,286810
ball_sort,2026-02-11,B,362522,288416
ball_sort,2026-02-12,A,367949,289861
ball_sort,2026-02-12,B,370251,291537
ball_sort,2026-02-13,A,388059,304865
ball_sort,2026-02-13,B,388644,305925
ball_sort,2026-02-14,A,394018,306533
ball_sort,2026-02-14,B,395567,307815
ball_sort,2026-02-15,A,407194,316506
ball_sort,2026-02-15,B,408312,317957
ball_sort,2026-02-16,A,416530,318337
ball_sort,2026-02-16,B,417328,319530
ball_sort,2026-02-17,A,422914,323282
ball_sort,2026-02-17,B,425256,325198
ball_sort,2026-02-18,A,435212,330443
ball_sort,2026-02-18,B,437228,332937
ball_sort,2026-02-19,A,441952,334764
ball_sort,2026-02-19,B,443587,336121
ball_sort,2026-02-20,A,457440,347293
ball_sort,2026-02-20,B,460180,349828
ball_sort,2026-02-21,A,469680,355519
ball_sort,2026-02-21,B,471358,356328
ball_sort,2026-02-22,A,480795,364442
ball_sort,2026-02-22,B,482933,366151
ball_sort,2026-02-23,A,483704,360406
ball_sort,2026-02-23,B,485504,361806
ball_sort,2026-02-24,A,489398,366182
ball_sort,2026-02-24,B,490929,367520
ball_sort,2026-02-25,A,495390,368070
ball_sort,2026-02-25,B,496435,369569
ball_sort,2026-02-26,A,489176,360166
ball_sort,2026-02-26,B,491217,362645
ball_sort,2026-02-27,A,145508,83760
ball_sort,2026-02-27,B,146966,85149
ios_nuts_sort,2026-01-30,B,1,1
ios_nuts_sort,2026-02-03,A,3910,3869
ios_nuts_sort,2026-02-03,B,3930,3891
ios_nuts_sort,2026-02-04,A,4295,4231
ios_nuts_sort,2026-02-04,B,4217,4162
ios_nuts_sort,2026-02-05,A,4783,4667
ios_nuts_sort,2026-02-05,B,4753,4662
ios_nuts_sort,2026-02-06,A,5680,5504
ios_nuts_sort,2026-02-06,B,5600,5408
ios_nuts_sort,2026-02-07,A,6848,6691
ios_nuts_sort,2026-02-07,B,6770,6593
ios_nuts_sort,2026-02-08,A,9087,8826
ios_nuts_sort,2026-02-08,B,8945,8690
ios_nuts_sort,2026-02-09,A,10117,9782
ios_nuts_sort,2026-02-09,B,10196,9839
ios_nuts_sort,2026-02-10,A,10808,10409
ios_nuts_sort,2026-02-10,B,10785,10408
ios_nuts_sort,2026-02-11,A,10789,10382
ios_nuts_sort,2026-02-11,B,11008,10554
ios_nuts_sort,2026-02-12,A,11455,10882
ios_nuts_sort,2026-02-12,B,11391,10852
ios_nuts_sort,2026-02-13,A,12073,11552
ios_nuts_sort,2026-02-13,B,12348,11848
ios_nuts_sort,2026-02-14,A,14153,13539
ios_nuts_sort,2026-02-14,B,14527,13881
ios_nuts_sort,2026-02-15,A,17717,16973
ios_nuts_sort,2026-02-15,B,17885,17188
ios_nuts_sort,2026-02-16,A,18780,17894
ios_nuts_sort,2026-02-16,B,19085,18217
ios_nuts_sort,2026-02-17,A,19170,18256
ios_nuts_sort,2026-02-17,B,19192,18316
ios_nuts_sort,2026-02-18,A,18896,17985
ios_nuts_sort,2026-02-18,B,19292,18386
ios_nuts_sort,2026-02-19,A,18761,17666
ios_nuts_sort,2026-02-19,B,19105,17959
ios_nuts_sort,2026-02-20,A,18683,17710
ios_nuts_sort,2026-02-20,B,19108,18156
ios_nuts_sort,2026-02-21,A,19100,18197
ios_nuts_sort,2026-02-21,B,19400,18524
ios_nuts_sort,2026-02-22,A,19507,18565
ios_nuts_sort,2026-02-22,B,20114,19234
ios_nuts_sort,2026-02-23,A,18977,17986
ios_nuts_sort,2026-02-23,B,19402,18483
ios_nuts_sort,2026-02-24,A,18616,17692
ios_nuts_sort,2026-02-24,B,19314,18355
ios_nuts_sort,2026-02-25,A,18689,17676
ios_nuts_sort,2026-02-25,B,19130,18204
ios_nuts_sort,2026-02-26,A,17803,16764
ios_nuts_sort,2026-02-26,B,17931,16905
ios_nuts_sort,2026-02-27,A,5564,5276
ios_nuts_sort,2026-02-27,B,5829,5556
