product,ab_group,kill_count,user_count,user_ratio
ball_sort,A,0,2294696,0.872
ball_sort,A,1,261230,0.0993
ball_sort,A,2,48036,0.0183
ball_sort,A,3,14123,0.0054
ball_sort,A,4,5775,0.0022
ball_sort,A,5,2834,0.0011
ball_sort,A,6,1587,0.0006
ball_sort,A,7,945,0.0004
ball_sort,A,8,624,0.0002
ball_sort,A,9,430,0.0002
ball_sort,A,10,298,0.0001
ball_sort,B,0,2282665,0.8719
ball_sort,B,1,260006,0.0993
ball_sort,B,2,47571,0.0182
ball_sort,B,3,13870,0.0053
ball_sort,B,4,5618,0.0021
ball_sort,B,5,2756,0.0011
ball_sort,B,6,1530,0.0006
ball_sort,B,7,920,0.0004
ball_sort,B,8,601,0.0002
ball_sort,B,9,395,0.0002
ball_sort,B,10,283,0.0001
ios_nuts_sort,A,0,172671,0.7438
ios_nuts_sort,A,1,49476,0.2131
ios_nuts_sort,A,2,9283,0.04
ios_nuts_sort,A,3,651,0.0028
ios_nuts_sort,A,4,47,0.0002
ios_nuts_sort,A,5,10,0.0
ios_nuts_sort,B,0,172388,0.7436
ios_nuts_sort,B,1,49499,0.2135
ios_nuts_sort,B,2,9185,0.0396
ios_nuts_sort,B,3,688,0.003
ios_nuts_sort,B,4,47,0.0002
ios_nuts_sort,B,5,6,0.0
