dt,scope_key,ab_group,trigger_pv,show_pv,show_rate,hudi_impression_pv,paid_pv,paid_revenue_usd,paid_ecpm
2026-03-23,classic_revive_back,A,1898,1332,0.7017913593256059,1327.0,1328,44.982855999999984,33.87263253012047
2026-03-24,classic_revive_back,A,5224,3369,0.6449081163859112,3351.0,3353,96.92456500000003,28.90681926632867
2026-03-25,classic_revive_back,A,9379,6115,0.6519884849131038,6091.0,6090,129.82219500000016,21.317273399014805
2026-03-26,classic_revive_back,A,10867,6976,0.6419434986656851,6935.0,6940,137.9992550000003,19.884618876080733
2026-03-27,classic_revive_back,A,11231,7554,0.6726026177544298,7533.0,7532,144.34781299999997,19.164606080722248
2026-03-28,classic_revive_back,A,11769,7772,0.6603789616789871,7738.0,7739,145.92875400000008,18.856280397984246
2026-03-29,classic_revive_back,A,12399,8207,0.66190821840471,8176.0,8178,143.74638400000018,17.57720518464174
2026-03-30,classic_revive_back,A,234,151,0.6452991452991453,151.0,151,3.2089779999999983,21.251509933774823
TOTAL,classic_revive_back,A,63001,41476,846.9608000000006,0.6583387565276742,41302,41311.0,20.502064825349194
2026-03-23,classic_revive_back,B,1938,1569,0.8095975232198143,1558.0,1558,31.048866000000004,19.92866880616175
2026-03-24,classic_revive_back,B,5291,4107,0.7762237762237763,4087.0,4088,74.30957,18.177487769080233
2026-03-25,classic_revive_back,B,9204,7164,0.7783572359843546,7142.0,7142,125.46668100000014,17.567443433212006
2026-03-26,classic_revive_back,B,10542,8247,0.7822993739328401,8190.0,8191,143.43517400000007,17.511314125259442
2026-03-27,classic_revive_back,B,10837,8585,0.7921934114607364,8538.0,8538,143.8668839999999,16.850185523541803
2026-03-28,classic_revive_back,B,11427,9074,0.7940841865756542,9014.0,9013,159.43697500000033,17.68966770220796
2026-03-29,classic_revive_back,B,12105,9598,0.7928954977282114,9562.0,9564,187.70076900000004,19.625760037641157
2026-03-30,classic_revive_back,B,237,204,0.8607594936708861,202.0,202,4.239844,20.989326732673266
TOTAL,classic_revive_back,B,61581,48548,869.5047630000004,0.7883600461181208,48293,48296.0,18.003659992545973
2026-03-23,overall,A,6472,5377,0.8308096415327565,5342.0,5346,113.3653690000001,21.20564328469886
2026-03-24,overall,A,19294,15757,0.8166787602363429,15655.0,15668,297.3015659999996,18.975080801633876
2026-03-25,overall,A,34666,28218,0.8139964230081348,28065.0,28074,524.2154949999986,18.672632863147346
2026-03-26,overall,A,40187,32509,0.8089431905840198,32293.0,32306,547.120225999999,16.935560762706587
2026-03-27,overall,A,42979,34912,0.812303683194118,34749.0,34755,569.853221999998,16.39629469141125
2026-03-28,overall,A,43363,34998,0.8070936051472454,34824.0,34834,596.0087099999984,17.10997043118787
2026-03-29,overall,A,46419,37849,0.8153773239406278,37676.0,37681,606.3435499999977,16.091493060162886
2026-03-30,overall,A,797,644,0.8080301129234629,642.0,643,12.401337999999997,19.28668429237947
TOTAL,overall,A,234177,190264,3266.609475999991,0.8124794493054399,189246,189307.0,17.25561905264988
2026-03-23,overall,B,7198,6248,0.8680188941372603,6212.0,6212,114.86447199999986,18.490739214423673
2026-03-24,overall,B,19937,16899,0.8476200030094798,16821.0,16825,293.1124870000001,17.421247369985146
2026-03-25,overall,B,34413,28831,0.8377938569726557,28678.0,28690,431.73475000000025,15.048265946322768
2026-03-26,overall,B,40122,33518,0.8354020238273266,33313.0,33322,465.26406299999934,13.96266919752714
2026-03-27,overall,B,41458,34755,0.8383182980365671,34502.0,34517,516.7431560000005,14.970685633166278
2026-03-28,overall,B,43880,37018,0.8436189608021878,36823.0,36836,584.1053380000011,15.856915463133921
2026-03-29,overall,B,46683,39551,0.8472248998564788,39359.0,39370,632.9513129999975,16.076995504190947
2026-03-30,overall,B,796,710,0.8919597989949749,708.0,708,17.750076000000018,25.07072881355935
TOTAL,overall,B,234487,197530,3056.5256549999986,0.8423921155543804,196416,196480.0,15.556421289698688
