dt,ab_group,trigger_pv,show_pv,show_rate
2026-03-23,A,1645,1332,0.8097264437689969
2026-03-24,A,4434,3369,0.7598105548037889
2026-03-25,A,8242,6115,0.7419315700072798
2026-03-26,A,9896,6976,0.7049312853678253
2026-03-27,A,10456,7554,0.7224560061208876
2026-03-28,A,11017,7772,0.7054552055913588
2026-03-29,A,11771,8221,0.6984113499277886
2026-03-30,A,11757,8035,0.6834226418303989
2026-03-31,A,11690,7751,0.6630453378956372
2026-04-01,A,11263,7464,0.6627008789842849
2026-04-02,A,11290,7355,0.6514614703277236
2026-04-03,A,11533,7768,0.6735454781930114
2026-04-04,A,11766,7927,0.6737208907020228
2026-04-05,A,11806,7963,0.6744875487040488
2026-04-06,A,10928,7894,0.7223645680819912
TOTAL,A,149494,103496,0.6923087214202577
2026-03-23,B,1763,1569,0.8899602949517867
2026-03-24,B,4861,4107,0.8448878831516149
2026-03-25,B,8478,7164,0.8450106157112527
2026-03-26,B,9954,8247,0.8285111512959614
2026-03-27,B,10300,8585,0.833495145631068
2026-03-28,B,10949,9074,0.828751484153804
2026-03-29,B,11713,9618,0.8211389054896269
2026-03-30,B,10909,8861,0.8122651022091851
2026-03-31,B,11341,9113,0.8035446609646416
2026-04-01,B,11182,9056,0.8098730101949562
2026-04-02,B,11331,9075,0.8009001853322743
2026-04-03,B,11322,9229,0.8151386680798446
2026-04-04,B,11417,9270,0.8119470964351406
2026-04-05,B,11571,9492,0.8203266787658802
2026-04-06,B,11017,9310,0.845057638195516
TOTAL,B,148108,121770,0.8221703081535096
